year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion,hOff_snap_count,hDef_snap_count,hST_snap_count,aOff_snap_count,aDef_snap_count,aST_snap_count,hDef_int,hDef_int_yds,hDef_int_td,hDef_int_long,hPass_defended,hSacks,hTackles_combined,hTackles_solo,hTackles_assists,hTackles_loss,hQb_hits,hFumbles_rec,hFumbles_rec_yds,hFumbles_rec_td,hFumbles_forced,aDef_int,aDef_int_yds,aDef_int_td,aDef_int_long,aPass_defended,aSacks,aTackles_combined,aTackles_solo,aTackles_assists,aTackles_loss,aQb_hits,aFumbles_rec,aFumbles_rec_yds,aFumbles_rec_td,aFumbles_forced
2022,den,Denver Broncos,5,Thu,A,08:15:00,,,,,,Indianapolis Colts,,,,,,,,,,,,,,,,,,,Denver Broncos -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,buf,Buffalo Bills,5,Sun,C,01:00:00,,,,,,Pittsburgh Steelers,,,,,,,,,,,,,,,,,,,Buffalo Bills -13.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,cle,Cleveland Browns,5,Sun,D,01:00:00,,,,,,Los Angeles Chargers,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,min,Minnesota Vikings,5,Sun,E,01:00:00,,,,,,Chicago Bears,,,,,,,,,,,,,,,,,,,Minnesota Vikings -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nwe,New England Patriots,5,Sun,F,01:00:00,,,,,,Detroit Lions,,,,,,,,,,,,,,,,,,,New England Patriots -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nor,New Orleans Saints,5,Sun,G,01:00:00,,,,,,Seattle Seahawks,,,,,,,,,,,,,,,,,,,New Orleans Saints -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nyj,New York Jets,5,Sun,H,01:00:00,,,,,,Miami Dolphins,,,,,,,,,,,,,,,,,,,Miami Dolphins -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,tam,Tampa Bay Buccaneers,5,Sun,I,01:00:00,,,,,,Atlanta Falcons,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -8.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,was,Washington Redskins,5,Sun,J,01:00:00,,,,,,Tennessee Titans,,,,,,,,,,,,,,,,,,,Tennessee Titans -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,jax,Jacksonville Jaguars,5,Sun,K,01:00:00,,,,,,Houston Texans,,,,,,,,,,,,,,,,,,,Jacksonville Jaguars -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,car,Carolina Panthers,5,Sun,L,04:05:00,,,,,,San Francisco 49ers,,,,,,,,,,,,,,,,,,,San Francisco 49ers -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,ram,Los Angeles Rams,5,Sun,M,04:25:00,,,,,,Dallas Cowboys,,,,,,,,,,,,,,,,,,,Los Angeles Rams -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,crd,Arizona Cardinals,5,Sun,N,04:25:00,,,,,,Philadelphia Eagles,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,rav,Baltimore Ravens,5,Sun,O,08:20:00,,,,,,Cincinnati Bengals,,,,,,,,,,,,,,,,,,,Baltimore Ravens -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,gnb,Green Bay Packers,5,Sun,B,09:30:00,,,,,,New York Giants,,,,,,,,,,,,,,,,,,,Green Bay Packers -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
