year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
2023,phi,Philadelphia Eagles,2,Thu,A,05:15:00,,,,,,Minnesota Vikings,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,ram,Los Angeles Rams,2,Sun,J,01:05:00,,,,,,San Francisco 49ers,,,,,,,,,,,,,,,,,,,San Francisco 49ers -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,crd,Arizona Cardinals,2,Sun,K,01:05:00,,,,,,New York Giants,,,,,,,,,,,,,,,,,,,New York Giants -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,dal,Dallas Cowboys,2,Sun,L,01:25:00,,,,,,New York Jets,,,,,,,,,,,,,,,,,,,Dallas Cowboys -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,den,Denver Broncos,2,Sun,M,01:25:00,,,,,,Washington Redskins,,,,,,,,,,,,,,,,,,,Denver Broncos -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,nwe,New England Patriots,2,Sun,N,05:20:00,,,,,,Miami Dolphins,,,,,,,,,,,,,,,,,,,Miami Dolphins -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,tam,Tampa Bay Buccaneers,2,Sun,B,10:00:00,,,,,,Chicago Bears,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,atl,Atlanta Falcons,2,Sun,C,10:00:00,,,,,,Green Bay Packers,,,,,,,,,,,,,,,,,,,Green Bay Packers -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,htx,Houston Texans,2,Sun,D,10:00:00,,,,,,Indianapolis Colts,,,,,,,,,,,,,,,,,,,Indianapolis Colts -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,det,Detroit Lions,2,Sun,E,10:00:00,,,,,,Seattle Seahawks,,,,,,,,,,,,,,,,,,,Detroit Lions -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
