,base_estimator__criterion,base_estimator__max_depth,base_estimator__max_features,learning_rate,loss,n_estimators,random_state,0
0,squared_error,15,sqrt,1e-05,linear,1600,88,-13.634884138776908
1,squared_error,15,sqrt,1e-05,linear,1625,88,-13.633582900484033
2,squared_error,15,sqrt,1e-05,linear,1650,88,-13.633091736373643
3,squared_error,15,sqrt,1e-05,linear,1675,88,-13.634470143636102
4,squared_error,15,sqrt,1e-05,linear,1700,88,-13.631237689085998
5,squared_error,15,sqrt,1e-05,linear,1725,88,-13.631348582844652
6,squared_error,15,sqrt,1e-05,linear,1750,88,-13.63155736858381
7,squared_error,15,sqrt,1e-05,linear,1775,88,-13.62941905312075
8,squared_error,15,sqrt,1e-05,linear,1800,88,-13.628713373333753
9,squared_error,15,sqrt,1e-05,linear,1825,88,-13.626544406177606
10,squared_error,15,sqrt,1e-05,linear,1850,88,-13.628541816526837
11,squared_error,15,sqrt,1e-05,linear,1875,88,-13.626742514694058
12,squared_error,15,sqrt,1e-05,linear,1900,88,-13.627341369688803
13,squared_error,15,sqrt,1e-05,linear,1925,88,-13.626503649145576
14,squared_error,15,sqrt,1e-05,linear,1950,88,-13.628392079777964
15,squared_error,15,sqrt,1e-05,linear,1975,88,-13.627387479984332
16,squared_error,15,sqrt,0.0001,linear,1600,88,-13.628265056166427
17,squared_error,15,sqrt,0.0001,linear,1625,88,-13.628072603191717
18,squared_error,15,sqrt,0.0001,linear,1650,88,-13.626275434228171
19,squared_error,15,sqrt,0.0001,linear,1675,88,-13.624980931772175
20,squared_error,15,sqrt,0.0001,linear,1700,88,-13.624713879883927
21,squared_error,15,sqrt,0.0001,linear,1725,88,-13.62487107758312
22,squared_error,15,sqrt,0.0001,linear,1750,88,-13.625176022711093
23,squared_error,15,sqrt,0.0001,linear,1775,88,-13.623927322997465
24,squared_error,15,sqrt,0.0001,linear,1800,88,-13.624072983430555
25,squared_error,15,sqrt,0.0001,linear,1825,88,-13.625934624714043
26,squared_error,15,sqrt,0.0001,linear,1850,88,-13.626073292502443
27,squared_error,15,sqrt,0.0001,linear,1875,88,-13.625909076671192
28,squared_error,15,sqrt,0.0001,linear,1900,88,-13.6245435852687
29,squared_error,15,sqrt,0.0001,linear,1925,88,-13.626244805802893
30,squared_error,15,sqrt,0.0001,linear,1950,88,-13.625777410921916
31,squared_error,15,sqrt,0.0001,linear,1975,88,-13.62533915246496
32,squared_error,15,sqrt,0.001,linear,1600,88,-13.634016756123916
33,squared_error,15,sqrt,0.001,linear,1625,88,-13.634227116836986
34,squared_error,15,sqrt,0.001,linear,1650,88,-13.637515297990035
35,squared_error,15,sqrt,0.001,linear,1675,88,-13.636763168601243
36,squared_error,15,sqrt,0.001,linear,1700,88,-13.638944151389918
37,squared_error,15,sqrt,0.001,linear,1725,88,-13.637202009168698
38,squared_error,15,sqrt,0.001,linear,1750,88,-13.637306376558683
39,squared_error,15,sqrt,0.001,linear,1775,88,-13.635731532748347
40,squared_error,15,sqrt,0.001,linear,1800,88,-13.63506572441624
41,squared_error,15,sqrt,0.001,linear,1825,88,-13.636367168262847
42,squared_error,15,sqrt,0.001,linear,1850,88,-13.636788183535876
43,squared_error,15,sqrt,0.001,linear,1875,88,-13.636962076519174
44,squared_error,15,sqrt,0.001,linear,1900,88,-13.63747234889565
45,squared_error,15,sqrt,0.001,linear,1925,88,-13.638159980323675
46,squared_error,15,sqrt,0.001,linear,1950,88,-13.63623920562351
47,squared_error,15,sqrt,0.001,linear,1975,88,-13.63568886951802
48,squared_error,15,log2,1e-05,linear,1600,88,-13.64569851365548
