stadium,teams,lat,lon,city,tz,in_scope,roof_values_seen,season_min,season_max,county_fips,county_name,state_code,state_fips,fcc_status
AT&T Stadium,DAL,32.7473,-97.0945,"Arlington, TX",America/Chicago,True,closed;open,2013,2026,48439,Tarrant County,TX,48,OK
Acrisure Stadium,PIT,40.4468,-80.0158,"Pittsburgh, PA",America/New_York,True,outdoors,2022,2026,42003,Allegheny County,PA,42,OK
Allegiant Stadium,LV,36.0909,-115.1833,"Las Vegas, NV",America/Los_Angeles,True,dome,2020,2026,32003,Clark County,NV,32,OK
Allianz Arena,TB/CAR (int'l host),48.2188,11.6247,"Munich, DE",Europe/Berlin,False,outdoors,2022,2024,,,,,out_of_scope_international
Arena Corinthians,PHI (int'l host),-23.5453,-46.4742,"Sao Paulo, BR",America/Sao_Paulo,False,outdoors,2024,2024,,,,,out_of_scope_international
Arrowhead Stadium,KC,39.0489,-94.4839,"Kansas City, MO",America/Chicago,True,outdoors,2009,2020,29095,Jackson County,MO,29,OK
Azteca Stadium,ARI (int'l host),19.3029,-99.1505,"Mexico City, MX",America/Mexico_City,False,outdoors,2016,2022,,,,,out_of_scope_international
Bank of America Stadium,CAR,35.2258,-80.8528,"Charlotte, NC",America/New_York,True,outdoors,2009,2026,37119,Mecklenburg County,NC,37,OK
Bernabeu,ATL/SF (int'l host),40.4531,-3.6883,"Madrid, ES",Europe/Madrid,False,,2026,2026,,,,,out_of_scope_international
Caesars Superdome,NO,29.9511,-90.0812,"New Orleans, LA",America/Chicago,True,dome,2026,2026,22071,Orleans Parish,LA,22,OK
Candlestick Park,"SF (historic, pre-2014 relocation)",37.7133,-122.3861,"San Francisco, CA",America/Los_Angeles,True,outdoors,2009,2013,06075,San Francisco County,CA,06,OK
CenturyLink Field,SEA,47.5952,-122.3316,"Seattle, WA",America/Los_Angeles,True,outdoors,2011,2020,53033,King County,WA,53,OK
Cleveland Browns Stadium,CLE,41.5061,-81.6995,"Cleveland, OH",America/New_York,True,outdoors,2009,2012,39035,Cuyahoga County,OH,39,OK
Cowboys Stadium,DAL,32.7473,-97.0945,"Arlington, TX",America/Chicago,True,closed;open,2009,2012,48439,Tarrant County,TX,48,OK
